correct_sent	corrupt_sent
Обычно ведь нет ничего скучнее документальных картин о музыкантах : хроника , интервью и эффектные композиции сменяют друг друга в линейном сюжете , и даже именитые режиссеры почему - то часто выбирают для себя именно такой киноязык . 	Обычно ведь нет ничего скучнее документального картин о музыкантах : хроника , интервью эффектные композиции сменяют друг друга линейном сюжете и именитый режиссеры почему - то часто выбирали для себя такой киноязык .
Уход за птичкой , которую назвали Пингвином , помогает семье отвлечься от переживаний . 	уход за птичкой которую назвали Пингвином , помогаю семье отвлечься от переживания .
При их изготовлении используют большое количество химии 	ими : изготовлении используют большое количество химии
Неопытные медсестры и работники клиник могут не соблюдать режим хранения и транспортировки крови , взятой на анализ . 	Неопытные медсестёр ) и работники клиник могли не соблюдав режимы хранения и транспортировки кровей , взятой на анализы .
"Ждем данных за декабрь , с учетом которых количество перевезенных пассажиров , скорее всего , вырастет до 6,5 - 6,7 тысяч "" , - говорится в сообщении паблика . "	"ждём данных за декабрь , с учётом которых количество перевезённого пассажиров , скорее всего , вырастет 6,5 - 6,7 тысяч "" , говорится в сообщении паблика . "
Последние дни удалось ее победить , она вошла в норму . 	Последние дни удалось ее победить , она вошла ) в нормы .
""" И большая часть мер идет как раз на малый и средний бизнес , в отличие , например , от кризиса 2008 - 2009 года , когда помощь была сосредоточена на крупных предприятиях "" , - отметил помощник президента . "	""" И большая часть мер иду кмалый , в отличие , например от кризиса 2008 - 2009 года , когда помощь была сосредоточена крупного предприятиях "" , - отметил помощник президента . "
Елки зеленые - главный символ новогодних и рождественских праздников . 	Елки зелёный . главный символ новогоднего .
Есть ли исключение ? 	ем ли исключение
Новые пошлины начали действовать 18 марта 2020 года . 	Новые пошлины начали действовавши 18 мартов 2020 года
За несоблюдение этого правила будет взиматься штраф в размере 100 фунтов ( более 125 американских долларов ) . 	За несоблюдение этого правила будет взимаешься штраф в размере 100 фунтов 125 американских долларов .
Накануне Волков сравнил Блейдса с бойцом UFC Хабибом Нурмагомедовым . 	Накануне Волков сравнил Блейдса с бойцом UFC
"23 сентября 2020 , 22:34 [ "" Аргументы Недели "" ] "	"23 сентября 2020 22:34 [ "" аргумент Недели "
Общий объем инвестиций в проекты топливно - энергетического комплекса составит 2 трлн тенге . 	Общий объем инвестиций в проект топливно - энергетического комплекса составит 2 трлн тенге .
Не понятно , как и где будет зафиксировано решение людей , отказавшихся от посмертного донорства . 	Не понятно , как , и где будет зафиксировано решение людей , отказавшихся посмертного донорств .
Уверен , мы когда - нибудь сможем привезти их на могилу Искандера , как сделали это уже во многих регионах силами наших 85 поисковых отрядов . 	Уверен , мы когда . нибудь сможем привезти их на могилу искандеров , как сделали это многих регионах силами наших 85 поисковых отрядов .
Не получив источник сырья , БСК намерена сокращать персонал и урезать социальные выплаты 	Не получит источник сырья , БСК намерена сокращать персонал и урезать социальный , выплаты
В поле тяжело ! 	В полях тяжело - !
Соответствующие снимки опубликовал CNN . 	соответствующие снимки опубликовал CNN
"Он зарегистрировал ФК "" Краснодар "" и прошел лицензирование , заявив команду во вторую лигу российского футбола . "	"Он зарегистрировал ФК "" Краснодар "" и прошёл лицензирования , заявив команды во вторую лигу российского футболов "
На наших глазах разрушается система договоренностей в сфере стратегической стабильности и нераспространения , понижается порог применения ядерного оружия , множатся региональные кризисы , попираются нормы международного права , в том числе путем силового вмешательства в дела суверенных государств , незаконных санкций и жестких протекционистских мер , подрывающих мировые рынки и глобальную торговую систему . 	нашего глазах разрушаешься система договоренностей в сфере стратегической стабильности и нераспространения , понижаешься порог применения ядерного оружия , множитесь региональный кризисы , попираетесь нормы международного права , том числе путем силового вмешательства в дела суверенных государств незаконных санкции жёсткого протекционистских мер , подрываете мировые рынок глобальную торговую систему .
Е.Ф. Светланова расположена в здании бывшей Кирхи Святого Семейства в Калининграде . 	Е.Ф. Светланова расположена в зданиях Кирхи Семейства Калининграде
Сообщалось , что Росавиация с 14 февраля введет временный запрет на чартерное авиасообщение между Россией и Китаем . 	сообщаюсь , что Росавиация с 14 февраля введёт временный запрет на чартерное авиасообщение между россией и : Китаем .
"Нападающий "" Локомотива "" Смолов перейдет в испанскую "" Сельту "" "	"Нападающий "" локомотива "" Смолов перейдёт испанскую сельту "" "
"Прошел федеральный этап Всероссийского проекта "" РДШ - Территория самоуправления "" . "	"пройдёт федеральный этап Всероссийского проекта "" РДШ - территория самоуправления "" "
Ранее Владислав Третьяк высказал мнение , что хоккеисты молодежной сборной России недооценили команду Чехии . 	Ранее Владислав Третьяк высказал мнение , что хоккеист молодежной сборной России недооценили команду чехии .
Для этого проводят анализ , который называется полимеразная цепная реакция ( ПЦР ) . 	Для этого проводили анализ , который назывался полимеразная цепная , реакция ( ПЦР ) .
"Проект реализовывался компанией "" Кронштадт "" в рамках программы "" Иноходец "" , начатой еще в 2012 году . "	"проект реализовываюсь компанией "" Кронштадт "" в рамке программы "" иноходец "" начатой 2012 году . "
Нарушение сна , бессонница ; 	нарушение сна бессонница ;
Но за два дня до апелляции Софья , жена Ефремова , неожиданно отказалась от услуг Алешкина , обвинив его в сговоре с защитником потерпевших Александром Добровинским . 	Но за два дня до апелляции Софья ( жена ефремова неожиданно отказалась от услуги Алешкина , обвинив его в сговоре с защитником потерпевшего Александром Добровинским .
А сегодня , 26 ноября стало известно еще о 9 летальных исходах . 	А сегодня , 26 ноября стало известно 9 летальных : исходе .
В тюрьмах страны - уже высокий показатель респираторных заболеваний . 	В тюрьмах страны уже высокий показатель респираторных заболеваний .
Саша однозначно с ними встретится . 	Саша однозначно , с ними встретился .
Человеческие чувства все реже и реже проявляются в нашем обществе . 	человеческие чувства все реже и реже проявлялись наших обществе ,
"Все знают , что он лжец "" , - сказал Байден . "	"Все знают , что он лжецы "" , - сказал Байден "
После отсадим и дальше будет видно . 	После отсадили и дальше будет видно :
В Сингапуре запрещают говорить по мобильным , а итальянцы ждут туристов 	В Сингапуре запрещаем говорю по мобильным , а итальянцы ждём туристов
То , что мы сейчас имеем , это не результат открытия плановой помощи , а вопрос накала в обществе по поводу конкретной инфекции . 	То , что мы сейчас имели , это не результат открытия плановой помощи , а вопрос накала в обществе конкретной инфекции
По словам Луценко , симптомов болезни он не чувствует , но работать продолжит из дома , а также отменил все командировки и рабочие встречи . 	По слову Луценко симптома болезни он не чувствует , но работать продолжит из дома а также отменю все командировку рабочие встречи .
Кроме того , девизы с официальным государственным статусом есть у многих стран , например у Великобритании , Франции , США , Чехии , напомнил общественник . 	Кроме того , девизы с официальным . государственным статусом есть многих страны , например у Великобритании , Франции , США , Чехии , напомню общественник .
И общей славой , заревом ракет 	И общей славои заревом ракет
Официальные лица США и Израиля вели переговоры о возможных встречах с лидерами нескольких арабских государств . 	Официальные лица сша вели переговоры о возможных встречах с лидерами нескольких арабских государств :
"Кроме того , в рамках действующего соглашения с Астраханской областью на оказание медицинской помощи ее жителям , вертолет "" Ансат "" совершил шесть вылетов к южным соседям - в медучреждения Волгограда были доставлены пять взрослых и один ребенок . "	"Кроме того , в рамках действовавшего соглашения с Астраханской областью на оказание медицинской помощи ее жителю , вертолёт "" ансат "" совершил шесть вылета южным соседям - в медучреждения волгограда были доставлены , пять взрослого один ребенок . "
В Армянске с тех пор мало что изменилось . 	В Армянске с тех поры мало что изменюсь
Я рада , поеду обниму пацанов . 	Я рада ? поеду обниму пацанов .
"Думаю , избегать неких аллюзий , параллелей с советским монументальным искусством было бы неправильно , - поделился Андрей Кончаловский с "" Известиями "" . - Очень важно , чтобы он перекликался или каким - то образом давал развитие тому , что наработали великие Голубкина , Вучетич , Мухина . "	"думаю ) избегать неких аллюзий , параллелей с советским монументальными искусством было бы неправильно , - поделишься Андрей Кончаловский с "" Известиями "" . - Очень важно , чтобы он перекликался или каким - то образом давал развития тому , что наработаете великие Голубкина , Вучетич , Мухина . "
По словам Николая Патрушева , работа контрольно - надзорных и правоохранительных органов в Сибири позволила в нынешнем году предотвратить ущерб от нарушений в ходе выполнения национальных проектов на сумму в 13,8 млрд рублей . 	По словам николаев работа контрольно . надзорных и правоохранительных органов в Сибири позволила нынешних году предотвратить ущерб от нарушений в ходах выполнения национальных проектов на сумму в 13,8 млрд рублей .
"Срок ипотечного кредита в банке "" Открытие "" составляет от 3 до 30 лет . "	"Срок ипотечного кредита в банке "" открытие "" составляет от 3 30 года "
"Форвард "" Реала "" беспрепятственно этот навес замкнул . "	форварды Реала беспрепятственно этот навесы замкнул -
В частности речь шла об использовании продуктов , направленных на анализ и мониторинг социальных медиа и СМИ , которые позволяют оперативно реагировать на возникающие острые вопросы . 	В частности речь идёшь об использовании продукта , направленных на анализ и мониторинг социальных медиа и сми , которые позволяете оперативно реагируешь возникаете острый вопросы ,
В правительстве Ирана отметили , что Тегеран не намерен больше соблюдать какие - либо ограничения по объему обогащения и в сфере ядерных исследований и разработок . 	В правительстве Ирана отметили , что Тегеран не намерен больше соблюдаю какие либо ограничения по объёму обогащения и в сфере ядерного исследований и разработки .
К моменту вынесения решения барнаулец уже был задержан сотрудниками полиции . 	К моменту вынесений решения барнаульцы уже был задержан сотрудниками полиций
В Международном олимпийском комитете ( МОК ) не исключают , что летние Игры - 2020 , которые должны были пройти в Токио , могут быть отменены или перенесены из - за эпидемии коронавируса . 	Международном олимпийском комитетах ( МОК ) не исключаем , что летние Игры - 2020 , которые должны были пройти в Токио , можем быть отменены или перенесены из - за , эпидемий коронавируса .
"Тот сообщил Мякелю , что прибывший из Германии на пароходе "" Gotenland "" ( "" Готенланд "" ) русский офицер пришел в администрацию порта , и просит его связать его с Юкка Мякелем . "	Тот сообщит Мякелю , что прусский офицер придёт в администрацию порта , и просит его свяжет его с Юкка Мякелем
Власти реагируют разумно . 	властей , реагировали разумно .
Но другим небедным субъектам удается выбивать средства из федеральной казны лучше , чем Смольному . 	Но другим небедным субъектам удаюсь выбиваю средства федеральных казны лучше , чем Смольному
По мнению директоров , этим ученикам нужна дополнительная поддержка . 	По мнению директора [ этим ученикам нужна дополнительная поддержка .
Как облегчить нашу нагрузку ? 	Как облегчить наши нагрузку
Она лично отлавливала нелегалов на улицах . 	Она лично отлавливала нелегала на улице
Семь подростков обратились в медпункт , затем их отправили в больницу , где врачи установили , что они отравились неизвестным газом . 	Семь подростка обратимся в медпункт , затем их отправим в больницу , где врач установим , что они отравимся неизвестному газом .
В начале июля в подвале пятиэтажного дома по улице Поповича в Южно - Сахалинске произошел взрыв баллона с кислородом . 	В началах июля в подвале пятиэтажного домов по улице Поповича в Южно Сахалинске произошёл взрыв баллонов с кислородом .
Как будто в местных минздравах нет инфекционистов , которые получают зарплату как раз за то , чтобы знать все о распространении заразных болезней . 	Как будто местных минздравах нет инфекционистов , которые получают зарплаты как раз за то , чтобы знать . все о распространении заразных болезней .
Нобоа , 63 ( 1:1 ) 	Нобоа , 63 ( 1:1 :
Опубликовано видео столкновения катеров в Таиланде 	опубликовано видео столкновения катеров в Таиланде
"В НАТО заявили , что Россия якобы продолжает свою "" агрессивную политику "" , поэтому блок должен сохранить прежний подход по отношению к нашей стране : "" диалог и сдерживание "" . "	"В НАТО заявили что Россия якобы продолжает свою агрессивную политику "" , поэтому блок должен сохранить прежний подход по отношению к нашей стране : "" диалог и сдерживание "" . "
Браконьеры из Приморско - Ахтарского района заплатят штраф более 800 тысяч рублей 	Браконьеры из Приморско ахтарских района заплатили штрафы более 800 тысяч рублей
"Вот - вот мы увидим их в "" Формуле-1 "" , и можно было бы подготовить зрителя к новым именам . "	"Вот вот мы увидят их в "" Формуле-1 "" , и можно было бы подготовит зрителей новым именам . "
